Category,Brand Name,Model Name,Description,Material,Care,Page URL,Title,Meta description,Meta keywords
unisex/Shoes/Sneakers,Vans,Era TC,"With over forty years of history at the heart of youth culture, Californian-based Vans has remained one of the most iconic streetwear brands on the market. With everything from the Authentic and Old-Skool sneakers alongside an extensive range of tees, basics and accessories, Vans has every corner of your weekend wardrobe covered. - Genuine suede upper  Black with white accents  Low-top profile  Rubber toe cap  Five-eye lacing system  Padded heel collar  Lined and cushioned insole  Vulcanised rubber sole","Inner: Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/era-tc-901579.html,Era TC by Vans Online | THE ICONIC | Australia,Buy Era TC by Vans online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Era TC, Vans, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,ALDO,Shoopman,"For footwear and accessories that stand the test of time, look no further than ALDO. The brand reinvents classic designs with a contemporary twist, and combines exceptional craftsmanship with premium materials and an eye for detail. - Leather-look upper - Warm ivory white with black contrast - Round closed toe - Side stripe panels - Lace-up front - Debossed branding to tongue - Padded collar and tongue - Rubber sole","Inner: Textile
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/shoopman-879878.html,Shoopman by ALDO Online | THE ICONIC | Australia,Buy Shoopman by ALDO online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Shoopman, ALDO, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Globe,Option Evo - Unisex,"Crafted with a genuine suede and mesh upper, the Option Evo sneakers from lifestyle label Globe look great teamed with vintage denim and logo tees. - Mesh and suede leather upper - Optic white; soft cloud grey accents- Round toe - Lace-up design - Cushioned collar and tongue - Pull tabs to tongue and heel counter - Nitroliteв„ў insole for footbed control - Embossed branding to outer side - Rubber traction sole; neon yellow accents to sole","Inner: Textile
Sole: Synthetic
Upper: Leather & Textile",,https://www.theiconic.com.au/option-evo-unisex-853674.html,Option Evo - Unisex by Globe Online | THE ICONIC | Australia,Buy Option Evo - Unisex by Globe online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Option Evo - Unisex, Globe, Shoes, Sneakers, Low-Tops"
Men/Shoes/All thongs,Double Oak Mills,Bora Bora Leather Thongs,"Built on the foundation of a classic, gentlemanly aesthetic, Double Oak Mills is a footwear and accessories brand which is proudly exclusive to THE ICONIC. Fusing quality construction with desirable price points, Double Oak Mills delivers a range of dapper designs that will see you through whatever occasion may come your way. - Genuine smooth leather upper and lining- Dark brown shade- Classic thong design- Contoured footbed- Slip-on design","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/bora-bora-leather-thongs-949295.html,Bora Bora Leather Thongs by Double Oak Mills Online | THE ICONIC | Australia,Buy Bora Bora Leather Thongs by Double Oak Mills online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Bora Bora Leather Thongs, Double Oak Mills, Shoes, All thongs, Thongs"
Men/Shoes/Dress Shoes,Oxford,Phillips Leather Monk Shoes,"Investing in shoes you're going to wear regularly is serious business.The Oxford Phillips Leather Monk Shoes are crafted from a supple leather, try them paired with a suit and button up shirt. - Material: 100% Leather- Colour: Mocha- Lining: Leather- Outsole: Resin- Finish: Smooth- Heel height: 2cm- Heel shape: Block- Fastening: Double buckle",,Do not spot clean. Specialist leather cleaner only. Store away from direct sunlight.,https://www.theiconic.com.au/phillips-leather-monk-shoes-938626.html,Phillips Leather Monk Shoes by Oxford Online | THE ICONIC | Australia,Buy Phillips Leather Monk Shoes by Oxford online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Phillips Leather Monk Shoes, Oxford, Shoes, Dress Shoes"
Men/Shoes/Boots,Wild Rhino,Ajax Dress Boots,"Ajax Dress Boots by Wild Rhino are the perfect formal wear option for guys who prefer boots over dress shoes. Ideal for the office, at a wedding, a special event, or any occasion that requires a sophisticated look. Ajax Dress Boots have a smooth sleek silhouette, easy slip-on fitting and an antique burnish for an extra touch of style. Crafted from premium quality leather with a high shine finish.- Premium first grade leather upper - Sleek, smooth shape- Antique burnish- Signature Wild Rhino embossed on the heel Upper: Premium First Grade Full Grain Leather Lining: Pigskin Leather Sole: Rubber Keep your Wild Rhino shoes in fantastic condition with silicone-free protective spray which repels against water, dirt, grease and grime. Silicone-free spray will prevent damage to your Wild Rhino shoes and will not discolour leather or fabric.",,,https://www.theiconic.com.au/ajax-dress-boots-672865.html,Ajax Dress Boots by Wild Rhino Online | THE ICONIC | Australia,Buy Ajax Dress Boots by Wild Rhino online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Ajax Dress Boots, Wild Rhino, Shoes, Boots, Dress Shoes"
Men/Shoes/Boots,Wild Rhino,Highland,"Highland is a brand new rugged Wild Rhino boots, boasting all the Wild Rhino famous details. Features seven eyelets for flexible styling options, wear laced up to the top of half way down. Highland boot showcases contrasting leather, suede and textile materials for a unique rugged look. - Contrast heel counter and cool contrasting laces - Fully padded collar and footbed for maximum comfort - Fully padded textile tongue with leather patch - Leather tab and signature Wild Rhino embossing - Sturdy rubber outsole with cleating for extra grip  Upper: Premium First Grade Portuguese Leather Lining: Premium Textile Sole: Rubber Country of Manufacture: Portugal",,"Keep your Wild Rhino shoes in fantastic condition with silicone-free protective spray which repels against water, dirt, grease and grim. Silicone-free spray will prevent damage to your Wild Rhino shoes and will not discolour leather or fabric.",https://www.theiconic.com.au/highland-817583.html,Highland by Wild Rhino Online | THE ICONIC | Australia,Buy Highland by Wild Rhino online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Highland, Wild Rhino, Shoes, Boots, Lace-up Boots"
Men/Shoes/Boat shoes,Aquila,Marseille,"Aquila has been dressing Australian men with confidence and style since 1958. Aquila prides themselves on craftsmanship, design and service, taking cues from their European heritage and combining them with tailored style for the modern man.",,Spray lightly with Eco Water Proof Spray before use. Brush often with a suede brush to remove dirt and debris. Always wear socks and rotate shoes often to ensure they dry between wears.,https://www.theiconic.com.au/marseille-948805.html,Marseille by Aquila Online | THE ICONIC | Australia,Buy Marseille by Aquila online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Marseille, Aquila, Shoes, Boat shoes, Casual Shoes"
Men/Shoes/Sneakers,Vans,Sk8-Hi - Men's,"An all-time favourite, the Sk8-Hi Vans are a wardrobe staple. Traced with the signature leather stripe, these are the most versatile sneakers on the market. - Canvas upper with suede panelling  Black suede; black, red, white and yellow logo print side panels  Contrast stitching  Leather Vans stripe on the sides  High-top lace-up design  Quilted collar for support and flexibility  Partial leather lining  Vulcanised rubber sole","Inner: Textile
Sole: Synthetic
Upper: Leather & Textile",,https://www.theiconic.com.au/sk8-hi-men-s-901586.html,Sk8-Hi - Men's by Vans Online | THE ICONIC | Australia,Buy Sk8-Hi - Men's by Vans online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Sk8-Hi - Men's, Vans, Shoes, Sneakers, Hi-Tops"
Men/Shoes/Sneakers,Betts,Zoom Low Top Lifestyle Sneakers,"As one of AustraliaвЂ™s most iconic fashion brands with over
125 years of shoe making expertise, Betts
Shoes creates inspiring, on-trend and great quality fashion for men at
prices you will love. Find your perfect pair for any occasion from our range of
casual sandals, dress shoes and on-trend boots.",,,https://www.theiconic.com.au/zoom-low-top-lifestyle-sneakers-930635.html,Zoom Low Top Lifestyle Sneakers by Betts Online | THE ICONIC | Australia,Buy Zoom Low Top Lifestyle Sneakers by Betts online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Zoom Low Top Lifestyle Sneakers, Betts, Shoes, Sneakers, Lifestyle Shoes"
unisex/Shoes/Sneakers,Converse,Chuck Taylor All Star 70 Ox - Unisex,"PLEASE NOTE: Unisex Converse shoes come in US men's sizing. M6/W8 equates to a men's AU size 6/women's AU size 8. To ensure the correct fit, please refer to the size & fit info below. вЂ‹The Chuck Taylor All Star 70 Ox pays homage to Converse's original 1970s design. The perfect combination of vintage and modern, the white low-top sneakers are made from heavy-duty cotton canvas with a cushioned insole and higher rubber foxing for enhanced comfort and durability without sacrificing the unmistakable aesthetic. - 100% Cotton heavy-grade canvas upper- Off-white shade; white topstitching, laces and outsole- Higher rubber foxing; signature rubber toecap- Seven-eye lace-up fastening- Cushioned footbed- Vulcanised non-marking rubber outsole MenвЂ™s: Converse shoes are in US men's sizing, which is the same as standard AU men's sizing. For example if you are an AU size 9, please order a size M9. WomenвЂ™s: Converse shoes are in US men's sizing. For the correct fit please select your size from the W in the drop-down above. For example if you are an AU size 7, please order a size W7.","Inner: Textile
Sole: Rubber
Upper: Textile",,https://www.theiconic.com.au/chuck-taylor-all-star-70-ox-unisex-439110.html,Chuck Taylor All Star 70 Ox - Unisex by Converse Online | THE ICONIC | Australia,Buy Chuck Taylor All Star 70 Ox - Unisex by Converse online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Chuck Taylor All Star 70 Ox - Unisex, Converse, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sneakers,Von-RГ¶utte,Lyon Low Top Sneakers,"Founded and designed in Australia, Von-RГ¶utte creates contemporary sneakers and leather goods. The Lyon Low Top Sneakers bring a contemporary twist to a classic style. This pair is made from patent leather upper featuring a low top silhouette and a round toe. Handmade in Portugal with high-quality craftsmanship. - Patent Leather Upper  Low Top Profile Round Toe  Bronze Foil Logo Embossment  Insole with Arch Support  Vulcanised Rubber Soles  Wide Fit  Handmade in Portugal",,,https://www.theiconic.com.au/lyon-low-top-sneakers-1011540.html,Lyon Low Top Sneakers by Von-RГ¶utte Online | THE ICONIC | Australia,Buy Lyon Low Top Sneakers by Von-RГ¶utte online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Lyon Low Top Sneakers, Von-RГ¶utte, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,Wild Rhino,Napier High-Tops,"Wild Rhino Napier High-Tops are a cool-casual must have. The contrast heel coolar, leather panelling with rivet and stitch detailing, and embossed Wild Rhino deliver style, while the flexible rubber outsole ensures comfort and durability. - Upper: Premium first grade full grain leather  - Lining: Premium textile  - Sole: Rubber  - Made in PortugalKeep your Wild Rhino shoes in fantastic condition with silicone-free protective spray which repels against water, dirt, grease and grime. Silicone-free spray will prevent damage to your Wild Rhino shoes and will not discolour leather or fabric.",,,https://www.theiconic.com.au/napier-high-tops-633968.html,Napier High-Tops by Wild Rhino Online | THE ICONIC | Australia,Buy Napier High-Tops by Wild Rhino online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Napier High-Tops, Wild Rhino, Shoes, Sneakers, Boots"
Men/Shoes/Sneakers,Fila,Creator - Men's,"Splashed with the brand's signature colour trio, the Fila Creator sneakers are a sports lifestyle icon reimagined. - Leather, faux leather and mesh upper- White with iris blue and rhubarb red accents- Round toe; toe bumper with golden accent- Lace-up fastening- Padded mesh collar and tongue- Branding to counter and lateral side- Lightweight EVA and rubber outsole","Inner: Textile
Sole: EVA & Rubber
Upper: Leather, Synthetic & Textile",,https://www.theiconic.com.au/creator-men-s-891213.html,Creator - Men's by Fila Online | THE ICONIC | Australia,Buy Creator - Men's by Fila online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Creator - Men's, Fila, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,Polo Ralph Lauren,Thorton-Ne,"Polo Ralph LaurenвЂ™s eponymous label has always stood for providing quality products and creating a legacy that is the quintessential embodiment of American style. The Thorton-Ne low-profile, lace-up sneakers are the perfect smart-casual footwear choice. Crafted from durable canvas in fresh white, they boast a five-eyelet design, padded collar and are polished off with the brand's signature polo pony embroidered to the side. - Canvas upper- White shade; tan brown accents- Low profile- Five-eyelet, lace-up design- Leather laces- Round toe- Embroidered branding to tongue- Embroidered signature polo pony to side- Padded collar- Leather heel panel; brand debossed- Lined insole- Off white rubber midsole","Inner: Textile & Synthetic
Sole: Synthetic
Upper: Textile & Leather",,https://www.theiconic.com.au/thorton-ne-620064.html,Thorton-Ne by Polo Ralph Lauren Online | THE ICONIC | Australia,Buy Thorton-Ne by Polo Ralph Lauren online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Thorton-Ne, Polo Ralph Lauren, Shoes, Sneakers, Low-Tops"
Men/Shoes/Sneakers,Wild Rhino,Cape Casual Hi-Top Shoes,"Introducing your go-to casual kicker: the Wild Rhino Cape Hi-Top Casual Shoes. With a soft nubuck leather upper and side panel detailing, the superior European leathers and durable outsole of this high-top casual make it a casual wardrobe staple.- Premium first grade nubuck leather upper- Naturally dyed, rich tan shade- Padded comfortable heel collar- Rounded toe shape- Soft premium textile lining- Sturdy, durable outsoleUpper: Premium First Grade Nubuck LeatherLining: Premium TextileSole: TPRKeep your Wild Rhino shoes in fantastic condition with silicone-free protective spray which repels against water, dirt, grease and grim. Silicone-free spray will prevent damage to your Wild Rhino shoes and will not discolour leather or fabric.",,,https://www.theiconic.com.au/cape-casual-hi-top-shoes-642492.html,Cape Casual Hi-Top Shoes by Wild Rhino Online | THE ICONIC | Australia,Buy Cape Casual Hi-Top Shoes by Wild Rhino online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Cape Casual Hi-Top Shoes, Wild Rhino, Shoes, Sneakers, Hi-Tops"
Men/Shoes/Loafers,Staple Superior,Jason Canvas Derby,The Jason Canvas Derby shoes by Staple Superior are a perennial pair of lace-ups that work with chinos and cuffed denim alike. - Canvas upper; leather lining- Navy blue; neutral outsole- Round toe- Four-eye lace-up front- Stitched welt,"Inner: Leather
Sole: Man-Made
Upper: Canvas",,https://www.theiconic.com.au/jason-canvas-derby-897046.html,Jason Canvas Derby by Staple Superior Online | THE ICONIC | Australia,Buy Jason Canvas Derby by Staple Superior online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Jason Canvas Derby, Staple Superior, Shoes, Loafers, Casual Shoes"
Men/Shoes/Dress Shoes,ALDO,Aferimwen,"For footwear and accessories that stand the test of time, look no further than ALDO. The brand reinvents classic designs with a contemporary twist, and combines exceptional craftsmanship with premium materials and an eye for detail. - Genuine leather upper; nubuck finish- Taupe brown- Almond toe- Lace-up design- Low-top silhouette- Triangular elastic gore to entry- Grosgrain tab to heel- 2.5cm rubber heel","Inner: Textile & Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/aferimwen-878526.html,Aferimwen by ALDO Online | THE ICONIC | Australia,Buy Aferimwen by ALDO online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Aferimwen, ALDO, Shoes, Dress Shoes, Brogues & Oxfords"
unisex/Shoes/Sneakers,adidas Originals,X-Plr - Unisex,"Cult favourite sportswear label adidas Originals bring you the X-Plr sneakers, a modern, fresh and understated take on the brand's signature sporty look. A woven upper keeps the foot cool at all times, while nubuck leather overlays offer stylish support. - Seam-free woven upper - Nubuck leather overlays - Grey shade; white accents - Pull-tab at heel - Lace-up front - Padded lining - Cushioned midsole for comfort; grip outsole for traction - 3-Stripes on side in white","Inner: Textile
Sole: Rubber
Upper: Leather, Synthetic & Textile",,https://www.theiconic.com.au/x-plr-unisex-938502.html,X-Plr - Unisex by adidas Originals Online | THE ICONIC | Australia,Buy X-Plr - Unisex by adidas Originals online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"X-Plr - Unisex, adidas Originals, Shoes, Sneakers, Low-Tops"
Men/Shoes/Dress Shoes,ALDO,Neaniel,"For footwear and accessories that stand the test of time, look no further than ALDO. The brand reinvents classic designs with a contemporary twist, and combines exceptional craftsmanship with premium materials and an eye for detail. - Nubuck leather upper- Navy shade- Low-top profile- Almond toe- Four-eye lace-up throat- Padded heel collar- 2.5cm rubber heel","Inner: Leather & Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/neaniel-878527.html,Neaniel by ALDO Online | THE ICONIC | Australia,Buy Neaniel by ALDO online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Neaniel, ALDO, Shoes, Dress Shoes, Brogues & Oxfords"
Men/Shoes/Sneakers,ALDO,Preilia,"ALDO's Preilia sneakers are an elevated take on your usual everyday trainer. We love the sleek lace-up front and sportive knitted mesh accents. - Grain-textured faux leather, denim and knitted mesh upper- Navy blue and tan colourway; white sole- Four-eye lace-up fastening- Lightly padded collar and tongue- Grosgrain pull tab to heel- Raised logo to tongue","Inner: Textile
Sole: Synthetic
Upper: Synthetic & Textile",,https://www.theiconic.com.au/preilia-912938.html,Preilia by ALDO Online | THE ICONIC | Australia,Buy Preilia by ALDO online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Preilia, ALDO, Shoes, Sneakers, Low-Tops"
Men/Shoes/Dress Shoes,Betts,Cavalry Derby Dress Shoes,"The Cavalry Derby Dress Shoes by Betts will make a handsome addition to
formal affairs. This versatile pair will work wonders for your wardrobe with
its simple silhouette featuring a lace up closure detail, designed to ensure
the perfect fit and a complementary wood toned outsole for added style. Pair
yours with smart chinos, a button up shirt tucked in and a sleek belt. -
Non-leather upper -
Leather lining and sock -
Wood toned outsole -
Lace up fastening",,,https://www.theiconic.com.au/cavalry-derby-dress-shoes-568767.html,Cavalry Derby Dress Shoes by Betts Online | THE ICONIC | Australia,Buy Cavalry Derby Dress Shoes by Betts online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Cavalry Derby Dress Shoes, Betts, Shoes, Dress Shoes"
Men/Shoes/Boots,Aquila,Diego,"Aquila has been dressing Australian men with confidence and style since 1958. Aquila prides themselves on craftsmanship, design and service, taking cues from their European heritage and combining them with tailored style for the modern man.",,,https://www.theiconic.com.au/diego-1033124.html,Diego by Aquila Online | THE ICONIC | Australia,Buy Diego by Aquila online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Diego, Aquila, Shoes, Boots, Desert Boots"
Men/Shoes/Sneakers,ALDO,Legeriwen,"For footwear and accessories that stand the test of time, look no further than ALDO. The brand reinvents classic designs with a contemporary twist, and combines exceptional craftsmanship with premium materials and an eye for detail. - Smooth leatherette upper; canvas overlays- Low-profile design - Black shade- Lace-up front - Round toe - Tan brand patch to tongue - Tan piping through heel and quarter - White outsole; black piping","Inner: Textile
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/legeriwen-878536.html,Legeriwen by ALDO Online | THE ICONIC | Australia,Buy Legeriwen by ALDO online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Legeriwen, ALDO, Shoes, Sneakers, Low-Tops"
Men/Shoes/Boat shoes,Sperry,Authentic Original 2-Eye Summer Suede Boat Shoes,"Sperry was born in 1935 when founder Paul Sperry, an avid sailor with a passion for adventure, was faced with a problem that stood in the way of his passion: maintaining traction on a slippery boat deck. In the decades since, Sperry shoes have garnered a formidable following around the world, with seasoned adventurers and urban wearers alike clamouring for a pair of Sperry boat shoes. With a range of canvas and leather styles to choose from, there's a pair to suit every style profile. - Genuine leather upper; suede finish- Faded forest green shade- Rounded moccasin toe- Two-eye 360В° Lacing Systemв„ў; rawhide laces- Rope-inspired contrast laces around the collar- Slate and green webbing to counter- Ortholite cushioning- Non-marking, rubber outsole with Razor-Cut Wave-Sipingв„ў for ultimate dry/wet traction","Inner: Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/authentic-original-2-eye-summer-suede-boat-shoes-896965.html,Authentic Original 2-Eye Summer Suede Boat Shoes by Sperry Online | THE ICONIC | Australia,Buy Authentic Original 2-Eye Summer Suede Boat Shoes by Sperry online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Authentic Original 2-Eye Summer Suede Boat Shoes, Sperry, Shoes, Boat shoes, Casual Shoes"
Men/Shoes/Sneakers,Fila,Ray Tracer - Men's,"The Fila Ray Tracer sneakers feature a chunky silhouette and high-traction EVA sole, finished in a white, teal blue, red, plum purple and black colourway for retro-inspired sportive appeal. - Mesh and leather upper- White, teal blue, red, plum purple and black colourway- Rounded toe- Smooth leather and suede panels- Lace-up front - Branded tongue- Padded collar- Branded embroidery to sides- Chunky, high-traction EVA sole- Striped pull tab to heel","Inner: Textile
Sole: EVA
Upper: Textile, Synthetic & Leather",,https://www.theiconic.com.au/ray-tracer-men-s-884819.html,Ray Tracer - Men's by Fila Online | THE ICONIC | Australia,Buy Ray Tracer - Men's by Fila online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Ray Tracer - Men's, Fila, Shoes, Sneakers, Low-Tops"
Men/Shoes/Boat shoes,Betts,Master Boat Shoes,"As one of AustraliaвЂ™s most iconic fashion brands with over 125 years of shoe making expertise, Betts Shoes creates inspiring, on-trend and great quality fashion for men at prices you will love. Find your perfect pair for any occasion from our range of casual sandals, dress shoes and on-trend boots.",,,https://www.theiconic.com.au/master-boat-shoes-751805.html,Master Boat Shoes by Betts Online | THE ICONIC | Australia,Buy Master Boat Shoes by Betts online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Master Boat Shoes, Betts, Shoes, Boat shoes, Casual Shoes"
unisex/Shoes/Sneakers,Reebok,CL Nylon - Unisex,"Amp up the pace in the CL Nylon sneakers from sportswear giant Reebok. A breathable nylon mesh upper is flawlessly accented by genuine suede panels that give the pair a luxurious finishing touch. Fitted with a lightweight sculpted EVA midsole and a high abrasion outsole, the navy sneakers will keep up with every activity. - Nylon mesh upper with genuine suede panels; breathable and comfortable- Navy shade; white accents- Lace-up front; comes with navy and white laces- Branded patches to outer side and tongue- Sculpted EVA midsole for lightweight cushioning- Cushioned sockliner - High abrasion rubber outsole for enhanced traction and durability","Inner: Textile
Sole: Rubber
Upper: Textile, Leather & Synthetic",,https://www.theiconic.com.au/cl-nylon-unisex-599373.html,CL Nylon - Unisex by Reebok Online | THE ICONIC | Australia,Buy CL Nylon - Unisex by Reebok online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"CL Nylon - Unisex, Reebok, Shoes, Sneakers, Low-Tops"
unisex/Shoes/Sandals,Suicoke,Depa-Cab - Unisex,"Launched in 2006, Japanese footwear innovators Suicoke are leading the way in comfortable, utilitarian footwear. Their men's sandals have become world-renowned for their minimalist aesthetic and incredibly wearable, practical design. Slimmer and more streamlined than their original counterparts, the Depa-Cab sandals boast Velcro-fastening nylon straps, an antibacterial EVA foam footbed for cushioning and a VibramВ® Morflex sole for enhanced support and traction with every step. - Slim, flat nylon straps- Velcro closure- All-white design- Neoprene-padded counter strap- Ergonomic EVA foam footbed with antibacterial properties- VibramВ® Morflex sole- Tread for traction PLEASE NOTE: This style runs small so we recommend buying one size up for a regular fit.","Inner: Synthetic
Sole: Synthetic
Upper: Synthetic",,https://www.theiconic.com.au/depa-cab-unisex-888888.html,Depa-Cab - Unisex by Suicoke Online | THE ICONIC | Australia,Buy Depa-Cab - Unisex by Suicoke online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Depa-Cab - Unisex, Suicoke, Shoes, Sandals, Casual Shoes"
Men/Shoes/Boat shoes,Sebago,Docksides,"Founded in 1946, Michigan-based company Sebago have since assembled a formidable following around the world вЂ“ producing a variation of deluxe boating, outdoor shoes and well as dress shoes. Made from smooth leather, the Dockside boat shoes feature a classic, moccasin design. Wrap-around leather laces tie in with traditions and are fully functional for a custom fit. - 100% Genuine leather upper and lining - Dark brown hue; light beige accents- Rounded toe with contrast stitching - Functional wrap-around laces - Bold stitching on the heel counter - Authentic slip-resistant, non-marking rubber sole","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/docksides-678173.html,Docksides by Sebago Online | THE ICONIC | Australia,Buy Docksides by Sebago online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Docksides, Sebago, Shoes, Boat shoes, Casual Shoes"
Men/Shoes/Casual Shoes,Hush Puppies,Savage,"Canvas sneakers ain't going out of style anytime soon, so grab a pair of the Savage by Hush Puppies whilst you still can! Featuring a timeless yet contemporary design and supported by the latest in comfort technology, this sneaker doesnвЂ™t destroy your feet for the crime of looking good! - Bounce Technology pods built into the lightweight outsole- Flexible rubber outsole for natural walking motion- Unlined, deconstructed upper for softness and comfort- 10mm Memory foam padding in the sock for maximum comfort- Hush Puppies standard EE wide fit Upper: Canvas Lining: Unlined Sock: Canvas Sole: Rubber Heel Height: 27mm",,,https://www.theiconic.com.au/savage-978825.html,Savage by Hush Puppies Online | THE ICONIC | Australia,Buy Savage by Hush Puppies online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Savage, Hush Puppies, Shoes, Casual Shoes"
Men/Shoes/Dress Shoes,Ted Baker,Travic Boots,Slip into the smooth leather Travic Boots by Ted Baker for a sleek pair that will take you from boardroom to bar in endless comfort with their Chelsea silhouette and cushioned footbed. вЂ‹- Genuine leather upper; smooth finish Chelsea boot silhouette Black Almond-shaped toe Elasticised side gussets; navy with jacquard paisley Woven heel pull tab; navy Gunmetal-toned brand logo to heel Cushioned footbed Stacked heel Forefoot tread outsole,"Inner: Synthetic & Textile
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/travic-boots-887025.html,Travic Boots by Ted Baker Online | THE ICONIC | Australia,Buy Travic Boots by Ted Baker online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Travic Boots, Ted Baker, Shoes, Dress Shoes, Dress Boots"
Men/Shoes/Dress Shoes,Ted Baker,Tifir,"A minimal yet impeccably crafted Ted Baker basic, the Tifir derby shoes are finished with Saffiano textured panels and a subtly squared toe. - Genuine leather upper- Deep brown- Square toe- Three-eyelet lace-up front- Stitched panelling to vamp- Saffiano textured panels to quarter; debossed branding- Padded collar- 2.5cm stacked heel","Inner: Textile & Synthetic
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/tifir-887029.html,Tifir by Ted Baker Online | THE ICONIC | Australia,Buy Tifir by Ted Baker online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Tifir, Ted Baker, Shoes, Dress Shoes, Brogues & Oxfords"
Men/Shoes/Loafers,Urge,Wilkes,"Established on SydneyвЂ™s beaches, Urge makes high-quality shoes at an accessible price point. For fresh new smart-casual footwear, opt for the Wilkes loafers. Crafted from genuine leather in mocha brown, they boast a tassel-embellished Moccasin-styled toe with exquisitely-detailed Huarache-inspired braiding. - Smooth-textured, genuine leather upper Light brown shade Slip-on loafer design Moccasin-styled round toe Huarache-inspired braiding Two-tassel vamp embellishment Leather-lined insole Wood-look welt Rubber sole","Inner: Leather
Sole: Synthetic
Upper: Leather",,https://www.theiconic.com.au/wilkes-886284.html,Wilkes by Urge Online | THE ICONIC | Australia,Buy Wilkes by Urge online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Wilkes, Urge, Shoes, Loafers, Casual Shoes"
Men/Shoes/Dress Shoes,Aquila,Brodrick Chelsea Boots,"Aquila has been dressing Australian men with confidence and style since 1958. Aquila prides themselves on craftsmanship, design and service, taking cues from their European heritage and combining them with tailored style for the modern man.",,Premium Leather is a premium and delicate type of leather. Spray lightly with Eco Water Proof Spray before use. Brush and polish regularly to keep leather moist and dirt free. Rotate shoes often to ensure they dry between wears.,https://www.theiconic.com.au/brodrick-chelsea-boots-937875.html,Brodrick Chelsea Boots by Aquila Online | THE ICONIC | Australia,Buy Brodrick Chelsea Boots by Aquila online at THE ICONIC. Free and fast delivery to Australia and New Zealand.,"Brodrick Chelsea Boots, Aquila, Shoes, Dress Shoes, Slip-Ons"
